"0",""
"0","complexity_withGO.df <- seg.complexity.metadata.df %>% filter(grepl(""GO"",seg.complexity.metadata.df$`Gene Ontology IDs`))"
"0",""
"0","# Extract all GO terms and IDs"
"0","go_terms_cc <- str_extract_all(Uniprot.tsv.df$`Gene Ontology (cellular component)`, ""(\\w+.*?) \\[GO:\\d+\\]"") %>% unlist()"
"0","go_terms_bp <- str_extract_all(Uniprot.tsv.df$`Gene Ontology (biological process)`, ""(\\w+.*?) \\[GO:\\d+\\]"") %>% unlist()"
"0","go_terms_mf <- str_extract_all(Uniprot.tsv.df$`Gene Ontology (molecular function)`, ""(\\w+.*?) \\[GO:\\d+\\]"") %>% unlist()"
"0",""
"0","# Create a data frame"
"0","go_df <- data.frame(GO_terms = c(go_terms_cc,go_terms_bp,go_terms_mf),"
"0","                    GO_clas = c(rep(""cc"", times = length(go_terms_cc)),"
"0","                              rep(""bp"", times = length(go_terms_bp)),"
"0","                              rep(""mf"", times = length(go_terms_mf))))%>% distinct()"
"0",""
"0","go_df <- go_df %>% filter(!is.na(go_df$GO_terms))"
"0",""
"0","go_df$id <- str_extract_all(go_df$GO_terms, ""GO:\\d+"") %>% unlist()"
"0",""
